Date,Sales,Salesimp,Staunton Jams,Salesadj
11/27/2009,449.61,449.61,0,449.61
11/28/2009,501.73,501.73,0,501.73
11/29/2009,405.71,405.71,0,405.71
11/30/2009,349.83,349.83,0,349.83
12/1/2009,224.2,224.2,0,224.2
12/2/2009,130.58,130.58,0,130.58
12/3/2009,236.07,236.07,0,236.07
12/4/2009,379.33,379.33,0,379.33
12/5/2009,262.02,262.02,0,262.02
12/6/2009,202.6,202.6,0,202.6
12/7/2009,135.76,135.76,0,135.76
12/8/2009,106.84,106.84,0,106.84
12/9/2009,217.64,217.64,0,217.64
12/10/2009,140.16,140.16,0,140.16
12/11/2009,295.45,295.45,0,295.45
12/12/2009,439.09,439.09,0,439.09
12/13/2009,285.06,285.06,0,285.06
12/14/2009,215.73,215.73,0,215.73
12/15/2009,200.2,200.2,0,200.2
12/16/2009,523.82,523.82,0,523.82
12/17/2009,196.03,196.03,0,196.03
12/18/2009,87.95,87.95,0,87.95
12/19/2009,,350.56,0,350.56
12/20/2009,53.87,53.87,0,53.87
12/21/2009,71.72,71.72,0,71.72
12/22/2009,241.27,241.27,0,241.27
12/23/2009,440.95,440.95,0,440.95
12/24/2009,340.57,340.57,0,340.57
12/25/2009,,254.24,0,254.24
12/26/2009,,350.56,0,350.56
12/27/2009,,180.51,0,180.51
